artist_id,artist_name,genres,folowers,popularity
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",113025813,87
04gDigrS5kc9YWfZHwBETP,Maroon 5,['pop'],40847209,85
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10294908,78
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,['pop'],19876086,79
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"['pop', 'uk pop']",12259414,81
6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],31794468,84
20gsENnposVs2I4rQ5kvrf,Sam Feldt,"['edm', 'pop dance', 'tropical house']",761239,69
1vCWHaC5f2uS3yhpwWbIA6,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",22521659,80
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",42177370,82
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",12210629,78
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,"['edm', 'pop dance', 'uk dance']",651329,68
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",14929059,75
6dn6x1XOng3LOAnfTjUn77,AJ Mitchell,"['alt z', 'singer-songwriter pop', 'teen pop']",901037,56
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25190145,87
2wY79sveU1sp5g7SokKOiI,Sam Smith,"['pop', 'uk pop']",23329402,83
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,"['edm', 'electro house', 'pop dance']",3693992,71
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",2493936,74
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",33424471,83
